序号,时间/s,转速/rpm,扭矩/N·m,油门/%,电流/A,电压/V,电量/%,温度/℃
120,12.9,6000,60,0.6,400,60,0.6,60
121,13.0,2000,20,0.2,200,20,0.2,20
122,13.1,6000,60,0.6,400,60,0.6,60
123,13.2,2000,20,0.2,200,20,0.2,20
124,13.3,6000,60,0.6,400,60,0.6,60
125,13.4,2000,20,0.2,200,20,0.2,20
126,13.5,6000,60,0.6,400,60,0.6,60
127,13.6,2000,20,0.2,200,20,0.2,20
128,13.7,6000,60,0.6,400,60,0.6,60
129,13.8,2000,20,0.2,200,20,0.2,20
130,13.9,6000,60,0.6,400,60,0.6,60
131,14.0,2000,20,0.2,200,20,0.2,20
132,14.1,6000,60,0.6,400,60,0.6,60
133,14.2,2000,20,0.2,200,20,0.2,20
134,14.3,6000,60,0.6,400,60,0.6,60
135,14.4,2000,20,0.2,200,20,0.2,20
136,14.5,6000,60,0.6,400,60,0.6,60
137,14.6,2000,20,0.2,200,20,0.2,20
138,14.7,6000,60,0.6,400,60,0.6,60
139,14.8,2000,20,0.2,200,20,0.2,20
140,14.9,6000,60,0.6,400,60,0.6,60
141,15.0,2000,20,0.2,200,20,0.2,20
142,15.1,6000,60,0.6,400,60,0.6,60
143,15.2,2000,20,0.2,200,20,0.2,20
144,15.3,6000,60,0.6,400,60,0.6,60
145,15.4,2000,20,0.2,200,20,0.2,20
146,15.5,6000,60,0.6,400,60,0.6,60
147,15.6,2000,20,0.2,200,20,0.2,20
148,15.7,6000,60,0.6,400,60,0.6,60
149,15.8,2000,20,0.2,200,20,0.2,20
150,15.9,6000,60,0.6,400,60,0.6,60
151,16.0,2000,20,0.2,200,20,0.2,20
152,16.1,6000,60,0.6,400,60,0.6,60
153,16.2,2000,20,0.2,200,20,0.2,20
154,16.3,6000,60,0.6,40,60,0.6,60
155,16.4,2000,20,0.2,200,20,0.2,20
156,16.5,6000,60,0.6,40,60,0.6,60
157,16.6,2000,20,0.2,200,20,0.2,20
158,16.7,6000,60,0.6,40,60,0.6,60
159,16.8,2000,20,0.2,200,20,0.2,20
160,16.9,6000,60,0.6,40,60,0.6,60
161,17.0,2000,20,0.2,200,20,0.2,20
162,17.1,6000,60,0.6,40,60,0.6,60
163,17.2,2000,20,0.2,200,20,0.2,20
164,17.3,6000,60,0.6,40,60,0.6,60
165,17.4,2000,20,0.2,200,20,0.2,20
166,17.5,6000,60,0.6,40,60,0.6,60
167,17.6,2000,20,0.2,200,20,0.2,20
168,17.7,6000,60,0.6,40,60,0.6,60
169,17.8,2000,20,0.2,200,20,0.2,20
170,17.9,6000,60,0.6,40,60,0.6,60
171,18.0,2000,20,0.2,200,20,0.2,20
172,18.1,6000,60,0.6,40,60,0.6,60
173,18.2,2000,20,0.2,200,20,0.2,20
174,18.3,6000,60,0.6,40,60,0.6,60
175,18.4,2000,20,0.2,200,20,0.2,20
176,18.5,6000,60,0.6,40,60,0.6,60
177,18.6,2000,20,0.2,200,20,0.2,20
178,18.7,6000,60,0.6,40,60,0.6,60
179,18.8,2000,20,0.2,20,20,0.2,20
180,18.9,6000,60,0.6,40,60,0.6,60
181,19.0,2000,20,0.2,20,20,0.2,20
182,19.1,6000,60,0.6,40,60,0.6,60
183,19.2,2000,20,0.2,20,20,0.2,20
184,19.3,6000,60,0.6,40,60,0.6,60
185,19.4,2000,20,0.2,20,20,0.2,20
186,19.5,6000,60,0.6,40,60,0.6,60
187,19.6,2000,20,0.2,20,20,0.2,20
188,19.7,6000,60,0.6,40,60,0.6,60
189,19.8,2000,20,0.2,20,20,0.2,20
190,19.9,6000,60,0.6,40,60,0.6,60
191,20.0,2000,20,0.2,20,20,0.2,20
192,20.1,6000,60,0.6,40,60,0.6,60
193,20.2,2000,20,0.2,20,200,0.2,20
194,20.3,6000,60,0.6,40,60,0.6,60
195,20.4,2000,20,0.2,20,200,0.2,20
196,20.5,6000,60,0.6,40,60,0.6,60
197,20.6,2000,20,0.2,20,200,0.2,20
198,20.7,6000,60,0.6,40,60,0.6,60
199,20.8,2000,20,0.2,20,200,0.2,20
200,20.9,6000,60,0.6,40,60,0.6,60
201,21.0,2000,20,0.2,20,200,0.2,20
202,21.1,6000,60,0.6,40,60,0.6,60
203,21.2,2000,20,0.2,20,200,0.2,20
204,21.3,6000,60,0.6,40,60,0.6,60
205,21.4,2000,20,0.2,20,200,0.2,20
206,21.5,6000,60,0.6,40,60,0.6,60
207,21.6,2000,20,0.2,20,200,0.2,20
208,21.7,6000,60,0.6,40,60,0.6,60
209,21.8,2000,20,0.2,20,200,0.2,20
210,21.9,6000,60,0.6,40,0,0.6,60
211,22.0,2000,20,0.2,20,200,0.2,20
212,22.1,6000,60,0.6,40,0,0.6,60
213,22.2,2000,20,0.2,20,200,0.2,20
214,22.3,6000,60,0.6,40,400,0.6,60
215,22.4,2000,20,0.2,20,200,0.2,20
216,22.5,6000,60,0.6,40,400,0.6,60
217,22.6,2000,20,0.2,20,200,0.2,20
218,22.7,6000,60,0.6,40,400,0.6,60
219,22.8,2000,20,0.2,20,200,0.2,20
220,22.9,6000,60,0.6,40,400,0.6,60
221,23.0,2000,20,0.2,20,200,0.2,20
222,23.1,6000,60,0.6,40,400,0.6,60
223,23.2,2000,20,0.2,20,200,0.2,20
224,23.3,6000,60,0.6,40,400,0.6,60
225,23.4,2000,20,0.2,20,200,0.2,20
226,23.5,6000,60,0.6,40,400,0.6,60
227,23.6,2000,20,0.2,20,200,0.2,20
228,23.7,6000,60,0.6,40,400,0.6,60
229,23.8,2000,20,0.2,20,200,0.2,20
230,23.9,6000,60,0.6,40,400,0.6,60
231,24.0,2000,20,0.2,20,200,0.2,20
232,24.1,6000,60,0.6,40,400,0.6,60
233,24.2,2000,20,0.2,20,200,0.2,20
234,24.3,6000,60,0.6,40,400,0.6,60
235,24.4,2000,20,0.2,20,200,0.2,20
236,24.5,6000,60,0.6,40,400,0.6,60
237,24.6,2000,20,0.2,20,200,0.2,20
238,24.7,6000,60,0.6,40,400,0.6,60
239,24.8,2000,20,0.2,20,200,0.2,20
240,24.9,6000,60,0.6,40,400,0.6,60
241,25.0,2000,20,0.2,20,200,0.2,20
242,25.1,6000,60,0.6,40,400,0.6,60
243,25.2,2000,20,0.2,20,200,0.2,20
244,25.3,6000,60,0.6,40,400,0.6,60
245,25.4,2000,20,0.2,20,200,0.2,20
246,25.5,6000,60,0.6,40,400,0.6,60
247,25.6,2000,20,0.2,20,200,0.2,20
248,25.7,6000,60,0.6,40,400,0.6,60
249,25.8,2000,20,0.2,20,200,0.2,20
250,25.9,6000,60,0.6,40,400,0.6,60
251,26.0,2000,20,0.2,20,200,0.2,20
252,26.1,6000,60,0.6,40,400,0.6,60
253,26.2,2000,20,0.2,20,200,0.2,20
254,26.3,6000,60,0.6,40,400,0.6,60
255,26.4,2000,20,0.2,20,200,0.2,20
256,26.5,6000,60,0.6,40,400,0.6,60
257,26.6,2000,20,0.2,20,200,0.2,20
258,26.7,6000,60,0.6,40,400,0.6,60
259,26.8,2000,20,0.2,20,200,0.2,20
260,26.9,6000,60,0.6,40,400,0.6,60
261,27.0,2000,20,0.2,20,00,0.2,20
262,27.1,6000,60,0.6,40,400,0.6,60
263,27.2,2000,20,0.2,20,00,0.2,20
264,27.3,6000,60,0.6,40,400,0.6,60
265,27.4,2000,20,0.2,20,100,0.2,20
266,27.5,6000,60,0.6,40,400,0.6,60
267,27.6,2000,20,0.2,20,100,0.2,20
268,27.7,6000,60,0.6,40,400,0.6,60
269,27.8,2000,20,0.2,20,100,0.2,20
270,27.9,6000,60,0.6,40,400,0.6,60
271,28.0,2000,20,0.2,20,100,0.2,20
272,28.1,6000,60,0.6,40,400,0.6,60
273,28.2,2000,20,0.2,20,100,0.2,20
274,28.3,6000,60,0.6,40,400,0.6,60
275,28.4,2000,20,0.2,20,100,0.2,20
276,28.5,6000,60,0.6,40,400,0.6,60
277,28.6,2000,20,0.2,20,100,0.2,20
278,28.7,6000,60,0.6,40,400,0.6,60
279,28.8,2000,20,0.2,20,100,0.2,20
280,28.9,6000,60,0.6,40,400,0.6,60
281,29.0,2000,20,0.2,20,100,0.2,20
282,29.1,6000,60,0.6,40,00,0.6,60
283,29.2,2000,20,0.2,20,100,0.2,20
284,29.3,6000,60,0.6,40,00,0.6,60
285,29.4,2000,20,0.2,20,100,0.2,20
286,29.5,6000,60,0.6,40,300,0.6,60
287,29.6,2000,20,0.2,20,100,0.2,20
288,29.7,6000,60,0.6,40,300,0.6,60
289,29.8,2000,20,0.2,20,100,0.2,20
290,29.9,6000,60,0.6,40,300,0.6,60
291,30.0,2000,20,0.2,20,100,0.2,20
292,30.1,6000,60,0.6,40,300,0.6,60
293,30.2,2000,20,0.2,20,100,0.2,20
294,30.3,6000,60,0.6,40,300,0.6,60
295,30.4,2000,20,0.2,20,100,0.2,20
296,30.5,6000,60,0.6,40,300,0.6,60
297,30.6,2000,20,0.2,20,100,0.2,20
298,30.7,6000,60,0.6,40,300,0.6,60
299,30.8,2000,20,0.2,20,100,0.2,20
300,30.9,6000,60,0.6,40,300,0.6,60
301,31.0,2000,20,0.2,20,100,0.2,20
302,31.1,6000,60,0.6,40,300,0.6,60
303,31.2,2000,20,0.2,20,100,0.2,20
304,31.3,6000,60,0.6,40,300,0.6,60
305,31.4,2000,20,0.2,20,100,0.2,20
306,31.5,6000,60,0.6,40,300,0.6,60
307,31.6,2000,20,0.2,20,100,0.2,20
308,31.7,6000,60,0.6,40,300,0.6,60
309,31.8,2000,20,0.2,20,100,0.2,20
310,31.9,6000,60,0.6,40,300,0.6,60
311,32.0,2000,20,0.2,20,100,0.2,20
312,32.1,6000,60,0.6,40,300,0.6,60
313,32.2,2000,20,0.2,20,100,0.2,20
314,32.3,6000,60,0.6,40,300,0.6,60
315,32.4,2000,20,0.2,20,100,0.2,20
316,32.5,6000,60,0.6,40,300,0.6,60
317,32.6,2000,20,0.2,20,100,0.2,20
318,32.7,6000,60,0.6,40,300,0.6,60
319,32.8,2000,20,0.2,20,100,0.2,20
320,32.9,6000,60,0.6,40,300,0.6,60
321,33.0,2000,20,0.2,20,100,0.2,20
322,33.1,6000,60,0.6,40,300,0.6,60
323,33.2,2000,20,0.2,20,100,0.2,20
324,33.3,6000,60,0.6,40,300,0.6,60
325,33.4,2000,20,0.2,20,100,0.2,20
326,33.5,6000,60,0.6,40,300,0.6,60
327,33.6,2000,20,0.2,20,100,0.2,20
328,33.7,6000,60,0.6,40,300,0.6,60
329,33.8,2000,20,0.2,20,100,0.2,20
330,33.9,6000,60,0.6,40,300,0.6,60
331,34.0,2000,20,0.2,20,100,0.2,20
332,34.1,6000,60,0.6,40,300,0.6,60
333,34.2,2000,20,0.2,20,100,0.2,20
334,34.3,6000,60,0.6,40,300,0.6,60
335,34.4,2000,20,0.2,20,100,0.2,20
336,34.5,6000,60,0.6,40,300,0.6,60
337,34.6,2000,20,0.2,20,100,0.2,20
338,34.7,6000,60,0.6,40,300,0.6,60
339,34.8,2000,20,0.2,20,100,0.2,20
340,34.9,6000,60,0.6,40,300,0.6,60
341,35.0,2000,20,0.2,20,100,0.2,20
342,35.1,6000,60,0.6,40,300,0.6,60
343,35.2,2000,20,0.2,20,100,0.2,20
344,35.3,6000,60,0.6,40,300,0.6,60
345,35.4,2000,20,0.2,20,100,0.2,20
346,35.5,6000,60,0.6,40,300,0.6,60
347,35.6,2000,20,0.2,20,100,0.2,20
348,35.7,6000,60,0.6,40,300,0.6,60
349,35.8,2000,20,0.2,20,100,0.2,20
350,35.9,6000,60,0.6,40,300,0.6,60
351,36.0,2000,20,0.2,20,100,0.2,20
352,36.1,6000,60,0.6,40,300,0.6,60
353,36.2,2000,20,0.2,20,100,0.2,20
354,36.3,6000,60,0.6,40,300,0.6,60
355,36.4,2000,20,0.2,20,100,0.2,20
356,36.5,6000,60,0.6,40,300,0.6,60
357,36.6,2000,20,0.2,20,100,0.2,20
358,36.7,6000,60,0.6,40,300,0.6,60
359,36.8,2000,20,0.2,20,100,0.2,20
360,36.9,6000,60,0.6,40,300,0.6,60
361,37.0,2000,20,0.2,20,100,0.2,20
362,37.1,6000,60,0.6,40,300,0.6,60
363,37.2,2000,20,0.2,20,100,0.2,20
364,37.3,6000,60,0.6,40,300,0.6,60
365,37.4,2000,20,0.2,20,100,0.2,20
366,37.5,6000,60,0.6,40,300,0.6,60
367,37.6,2000,20,0.2,20,100,0.2,20
368,37.7,6000,60,0.6,40,300,0.6,60
369,37.8,2000,20,0.2,20,100,0.2,20
370,37.9,6000,60,0.6,40,300,0.6,60
371,38.0,2000,20,0.2,20,100,0.2,20
372,38.1,6000,60,0.6,40,300,0.6,60
373,38.2,2000,20,0.2,20,100,0.2,20
374,38.3,6000,60,0.6,40,300,0.6,60
375,38.4,2000,20,0.2,20,100,0.2,20
376,38.5,6000,60,0.6,40,300,0.6,60
377,38.6,2000,20,0.2,20,100,0.2,20
378,38.7,6000,60,0.6,40,300,0.6,60
379,38.8,2000,20,0.2,20,100,0.2,20
380,38.9,6000,60,0.6,40,300,0.6,60
381,39.0,2000,20,0.2,20,100,0.2,20
382,39.1,6000,60,0.6,40,300,0.6,60
383,39.2,2000,20,0.2,20,100,0.2,20
384,39.3,6000,60,0.6,40,300,0.6,60
385,39.4,2000,20,0.2,20,100,0.2,20
386,39.5,6000,60,0.6,40,300,0.6,60
387,39.6,2000,20,0.2,20,100,0.2,20
388,39.7,6000,60,0.6,40,300,0.6,60
389,39.8,2000,20,0.2,20,100,0.2,20
390,39.9,6000,60,0.6,40,300,0.6,60
391,40.0,2000,20,0.2,20,100,0.2,20
392,40.1,6000,60,0.6,40,300,0.6,60
393,40.2,2000,20,0.2,20,100,0.2,20
394,40.3,6000,60,0.6,40,300,0.6,60
395,40.4,2000,20,0.2,20,100,0.2,20
396,40.5,6000,60,0.6,40,300,0.6,60
397,40.6,2000,20,0.2,20,100,0.2,20
398,40.7,6000,60,0.6,40,300,0.6,60
399,40.8,2000,20,0.2,20,100,0.2,20
400,40.9,6000,60,0.6,40,300,0.6,60
401,41.0,2000,20,0.2,20,100,0.2,20
402,41.1,6000,60,0.6,40,300,0.6,60
403,41.2,2000,20,0.2,20,100,0.2,20
404,41.3,6000,60,0.6,40,300,0.6,60
405,41.4,2000,20,0.2,20,100,0.2,20
406,41.5,6000,60,0.6,40,300,0.6,60
407,41.6,2000,20,0.2,20,100,0.2,20
408,41.7,6000,60,0.6,40,300,0.6,60
409,41.8,2000,20,0.2,20,100,0.2,20
410,41.9,6000,60,0.6,40,300,0.6,60
411,42.0,2000,20,0.2,20,100,0.2,20
412,42.1,6000,60,0.6,40,300,0.6,60
413,42.2,2000,20,0.2,20,100,0.2,20
414,42.3,6000,60,0.6,40,300,0.6,60
415,42.4,2000,20,0.2,20,100,0.2,20
416,42.5,6000,60,0.6,40,300,0.6,60
417,42.6,2000,20,0.2,20,100,0.2,20
418,42.7,6000,60,0.6,40,300,0.6,60
419,42.8,2000,20,0.2,20,100,0.2,20
420,42.9,6000,60,0.6,40,300,0.6,60
421,43.0,2000,20,0.2,20,100,0.2,20
422,43.1,6000,60,0.6,40,300,0.6,60
423,43.2,2000,20,0.2,20,100,0.2,20
424,43.3,6000,60,0.6,40,300,0.6,60
425,43.4,2000,20,0.2,20,100,0.2,20
426,43.5,6000,60,0.6,40,300,0.6,60
427,43.6,2000,20,0.2,20,100,0.2,20
428,43.7,6000,60,0.6,40,300,0.6,60
429,43.8,2000,20,0.2,20,100,0.2,20
430,43.9,6000,60,0.6,40,300,0.6,60
431,44.0,2000,20,0.2,20,100,0.2,20
432,44.1,6000,60,0.6,40,300,0.6,60
433,44.2,2000,20,0.2,20,100,0.2,20
434,44.3,6000,60,0.6,40,300,0.6,60
435,44.4,2000,20,0.2,20,100,0.2,20
436,44.5,6000,60,0.6,40,300,0.6,60
437,44.6,2000,20,0.2,20,100,0.2,20
438,44.7,6000,60,0.6,40,300,0.6,60
439,44.8,2000,20,0.2,20,100,0.2,20
440,44.9,6000,60,0.6,40,300,0.6,60
441,45.0,2000,20,0.2,20,100,0.2,20
442,45.1,6000,60,0.6,40,300,0.6,60
443,45.2,2000,20,0.2,20,100,0.2,20
444,45.3,6000,60,0.6,40,300,0.6,60
445,45.4,2000,20,0.2,20,20,0.2,20
446,45.5,6000,60,0.6,40,300,0.6,60
447,45.6,2000,20,0.2,20,250,0.2,20
448,45.7,6000,60,0.6,40,300,0.6,60
449,45.8,2000,20,0.2,20,250,0.2,20
450,45.9,6000,60,0.6,40,300,0.6,60
451,46.0,2000,20,0.2,20,250,0.2,20
452,46.1,6000,60,0.6,40,300,0.6,60
453,46.2,2000,20,0.2,20,250,0.2,20
454,46.3,6000,60,0.6,40,300,0.6,60
455,46.4,2000,20,0.2,20,250,0.2,20
456,46.5,6000,60,0.6,40,300,0.6,60
457,46.6,2000,20,0.2,20,250,0.2,20
458,46.7,6000,60,0.6,40,300,0.6,60
459,46.8,2000,20,0.2,20,250,0.2,20
460,46.9,6000,60,0.6,40,300,0.6,60
461,47.0,2000,20,0.2,20,250,0.2,20
462,47.1,6000,60,0.6,40,300,0.6,60
463,47.2,2000,20,0.2,20,250,0.2,20
464,47.3,6000,60,0.6,40,300,0.6,60
465,47.4,2000,20,0.2,20,250,0.2,20
466,47.5,6000,60,0.6,40,300,0.6,60
467,47.6,2000,20,0.2,20,250,0.2,20
468,47.7,6000,60,0.6,40,300,0.6,60
469,47.8,2000,20,0.2,20,250,0.2,20
470,47.9,6000,60,0.6,40,300,0.6,60
471,48.0,2000,20,0.2,20,250,0.2,20
472,48.1,6000,60,0.6,40,300,0.6,60
473,48.2,2000,20,0.2,20,250,0.2,20
474,48.3,6000,60,0.6,40,300,0.6,60
475,48.4,2000,20,0.2,20,250,0.2,20
476,48.5,6000,60,0.6,40,300,0.6,60
477,48.6,2000,20,0.2,20,250,0.2,20
478,48.7,6000,60,0.6,40,300,0.6,60
479,48.8,2000,20,0.2,20,250,0.2,20
480,48.9,6000,60,0.6,40,300,0.6,60
481,49.0,2000,20,0.2,20,250,0.2,20
482,49.1,6000,60,0.6,40,300,0.6,60
483,49.2,2000,20,0.2,20,250,0.2,20
484,49.3,6000,60,0.6,40,300,0.6,60
485,49.4,2000,20,0.2,20,250,0.2,20
486,49.5,6000,60,0.6,40,300,0.6,60
487,49.6,2000,20,0.2,20,250,0.2,20
488,49.7,6000,60,0.6,40,300,0.6,60
489,49.8,2000,20,0.2,20,250,0.2,20
490,49.9,6000,60,0.6,40,300,0.6,60
491,50.0,2000,20,0.2,20,250,0.2,20
492,50.1,6000,60,0.6,40,300,0.6,60
493,50.2,2000,20,0.2,20,250,0.2,20
494,50.3,6000,60,0.6,40,300,0.6,60
495,50.4,2000,20,0.2,20,250,0.2,20
496,50.5,6000,60,0.6,40,300,0.6,60
497,50.6,2000,20,0.2,20,250,0.2,20
498,50.7,6000,60,0.6,40,300,0.6,60
499,50.8,2000,20,0.2,20,250,0.2,20
500,50.9,6000,60,0.6,40,300,0.6,60
501,51.0,2000,20,0.2,20,250,0.2,20
502,51.1,6000,60,0.6,40,300,0.6,60
503,51.2,2000,20,0.2,20,250,0.2,20
504,51.3,6000,60,0.6,40,300,0.6,60
505,51.4,2000,20,0.2,20,250,0.2,20
506,51.5,6000,60,0.6,40,300,0.6,60
507,51.6,2000,20,0.2,20,250,0.2,20
508,51.7,6000,60,0.6,40,300,0.6,60
509,51.8,2000,20,0.2,20,250,0.2,20
510,51.9,6000,60,0.6,40,300,0.6,60
511,52.0,2000,20,0.2,20,250,0.2,20
512,52.1,6000,60,0.6,40,300,0.6,60
513,52.2,2000,20,0.2,20,250,0.2,20
514,52.3,6000,60,0.6,40,300,0.6,60
515,52.4,2000,20,0.2,20,250,0.2,20
516,52.5,6000,60,0.6,40,300,0.6,60
517,52.6,2000,20,0.2,20,250,0.2,20
518,52.7,6000,60,0.6,40,300,0.6,60
519,52.8,2000,20,0.2,20,250,0.2,20
520,52.9,6000,60,0.6,40,300,0.6,60
521,53.0,2000,20,0.2,20,250,0.2,20
522,53.1,6000,60,0.6,40,300,0.6,60
523,53.2,2000,20,0.2,20,250,0.2,20
524,53.3,6000,60,0.6,40,300,0.6,60
525,53.4,2000,20,0.2,20,250,0.2,20
526,53.5,6000,60,0.6,40,300,0.6,60
527,53.6,2000,20,0.2,20,250,0.2,20
528,53.7,6000,60,0.6,40,300,0.6,60
529,53.8,2000,20,0.2,20,250,0.2,20
530,53.9,6000,60,0.6,40,300,0.6,60
531,54.0,2000,20,0.2,20,250,0.2,20
532,54.1,6000,60,0.6,40,300,0.6,60
533,54.2,2000,20,0.2,20,250,0.2,20
534,54.3,6000,60,0.6,40,300,0.6,60
535,54.4,2000,20,0.2,20,250,0.2,20
536,54.5,6000,60,0.6,40,300,0.6,60
537,54.6,2000,20,0.2,20,250,0.2,20
538,54.7,6000,60,0.6,40,300,0.6,60
539,54.8,2000,20,0.2,20,250,0.2,20
540,54.9,6000,60,0.6,40,300,0.6,60
541,55.0,2000,20,0.2,20,250,0.2,20
542,55.1,6000,60,0.6,40,300,0.6,60
543,55.2,2000,20,0.2,20,250,0.2,20
544,55.3,6000,60,0.6,40,300,0.6,60
545,55.4,2000,20,0.2,20,250,0.2,20
546,55.5,6000,60,0.6,40,300,0.6,60
547,55.6,2000,20,0.2,20,250,0.2,20
548,55.7,6000,60,0.6,40,300,0.6,60
549,55.8,2000,20,0.2,20,250,0.2,20
550,55.9,6000,60,0.6,40,300,0.6,60
551,56.0,2000,20,0.2,20,250,0.2,20
552,56.1,6000,60,0.6,40,300,0.6,60
553,56.2,2000,20,0.2,20,250,0.2,20
554,56.3,6000,60,0.6,40,300,0.6,60
555,56.4,2000,20,0.2,20,250,0.2,20
556,56.5,6000,60,0.6,40,300,0.6,60
